;Individual;Date;Sex;Species;Status;Phase;Month_captivity;Mass_g;SVL_cm;Total_lengh_cm;BMI_MassBySVL;is.neg;Period;Aquarium_ID
MD301B;F15;28/05/2018;F;Pal;Wild;Aquatic1;0;1.55;3.6;7;0.43;FALSE;Wild;A15
MD302B;F19;28/05/2018;F;Pal;Wild;Aquatic1;0;2.04;4.1;7.6;0.5;FALSE;Wild;A19
MD303B;F17;28/05/2018;F;Pal;Wild;Aquatic1;0;1.83;4.1;7.5;0.45;FALSE;Wild;A17
MD304B;M16;28/05/2018;M;Pal;Wild;Aquatic1;0;1.37;3.7;6.3;0.37;FALSE;Wild;A16
MD305B;F7;28/05/2018;F;Alp;Wild;Aquatic1;0;2.89;4.7;8.5;0.61;FALSE;Wild;A7
MD307B;F12;28/05/2018;F;Pal;Wild;Aquatic1;0;1.82;4.1;7.6;0.44;FALSE;Wild;A12
MD308B;F11;28/05/2018;F;Pal;Wild;Aquatic1;0;2.28;4.3;8;0.53;FALSE;Wild;A11
MD309B;F18;28/05/2018;F;Pal;Wild;Aquatic1;0;2.04;4.4;8;0.46;FALSE;Wild;A18
MD310B;M18;28/05/2018;M;Pal;Wild;Aquatic1;0;1.63;3.8;7;0.43;FALSE;Wild;A18
MD311B;M12;28/05/2018;M;Pal;Wild;Aquatic1;0;1.47;3.6;6.7;0.41;FALSE;Wild;A12
MD312B;F13;28/05/2018;F;Pal;Wild;Aquatic1;0;1.63;3.7;6.8;0.44;FALSE;Wild;A13
MD313B;M15;28/05/2018;M;Pal;Wild;Aquatic1;0;1.38;3.6;6.2;0.38;FALSE;Wild;A15
MD314B;F20;28/05/2018;F;Pal;Wild;Aquatic1;0;1.8;4.1;7.6;0.44;FALSE;Wild;A20
MD315B;M4;28/05/2018;M;Alp;Wild;Aquatic1;0;2.97;5.1;8.2;0.58;FALSE;Wild;A4
MD316B;F16;28/05/2018;F;Pal;Wild;Aquatic1;0;2.26;4.6;8.6;0.49;FALSE;Wild;A16
MD318B;M14;28/05/2018;M;Pal;Wild;Aquatic1;0;1.56;3.9;6.7;0.4;FALSE;Wild;A14
MD319B;F14;28/05/2018;F;Pal;Wild;Aquatic1;0;1.7;4.1;7.7;0.41;FALSE;Wild;A14
MD320B;M19;28/05/2018;M;Pal;Wild;Aquatic1;0;1.57;3.7;6.8;0.42;FALSE;Wild;A19
MD321B;M20;28/05/2018;M;Pal;Wild;Aquatic1;0;1.43;3.6;6.4;0.4;FALSE;Wild;A20
MD322B;M17;28/05/2018;M;Pal;Wild;Aquatic1;0;1.14;3.3;6.1;0.35;FALSE;Wild;A17
MD323B;F9;28/05/2018;F;Alp;Wild;Aquatic1;0;2.41;4.8;8.4;0.5;FALSE;Wild;A9
MD324B;F8;28/05/2018;F;Alp;Wild;Aquatic1;0;2.73;4.9;8.4;0.56;FALSE;Wild;A8
MD326B;F3;28/05/2018;F;Alp;Wild;Aquatic1;0;2.52;4.6;7.8;0.55;FALSE;Wild;A3
MD327B;M1;28/05/2018;M;Alp;Wild;Aquatic1;0;2.35;4.5;8.3;0.52;FALSE;Wild;A1
MD328B;M5;28/05/2018;M;Alp;Wild;Aquatic1;0;1.99;4.2;6.6;0.47;FALSE;Wild;A5
MD329B;M9;28/05/2018;M;Alp;Wild;Aquatic1;0;2.16;4.4;7.9;0.49;FALSE;Wild;A9
MD330B;M8;28/05/2018;M;Alp;Wild;Aquatic1;0;1.72;4;7.1;0.43;FALSE;Wild;A8
MD331B;M13;28/05/2018;M;Pal;Wild;Aquatic1;0;1.54;3.8;6.7;0.41;FALSE;Wild;A13
MD332B;F2;28/05/2018;F;Alp;Wild;Aquatic1;0;2.19;4.7;8.3;0.47;FALSE;Wild;A2
MD333B;F4;28/05/2018;F;Alp;Wild;Aquatic1;0;2.62;4.8;8.4;0.55;FALSE;Wild;A4
MD334B;M2;28/05/2018;M;Alp;Wild;Aquatic1;0;2.12;4.3;7.2;0.49;FALSE;Wild;A2
MD335B;M6;28/05/2018;M;Alp;Wild;Aquatic1;0;1.95;4.1;6.8;0.48;FALSE;Wild;A6
MD336B;M3;28/05/2018;M;Alp;Wild;Aquatic1;0;1.65;3.8;6.7;0.43;FALSE;Wild;A3
MD337B;F10;28/05/2018;F;Alp;Wild;Aquatic1;0;2.67;4.9;8.5;0.54;FALSE;Wild;A10
MD338B;F5;28/05/2018;F;Alp;Wild;Aquatic1;0;2.71;4.8;7.8;0.56;FALSE;Wild;A5
MD339B;M10;28/05/2018;M;Alp;Wild;Aquatic1;0;1.9;4.2;7.4;0.45;FALSE;Wild;A10
MD340B;F6;28/05/2018;F;Alp;Wild;Aquatic1;0;2.36;4.6;7.8;0.51;FALSE;Wild;A6
MD341B;M11;28/05/2018;M;Pal;Wild;Aquatic1;0;1.37;3.6;6.1;0.38;FALSE;Wild;A11
MD388;M1;29/06/2018;M;Alp;Captive;Aquatic1;1;2;4.4;7.8;0.45;FALSE;Aquatic1;A1
MD389;F1;29/06/2018;F;Alp;Captive;Aquatic1;1;2.75;4.6;8.1;0.6;FALSE;Aquatic1;A1
MD390;M2;29/06/2018;M;Alp;Captive;Aquatic1;1;2.08;4;7.3;0.52;FALSE;Aquatic1;A2
MD391;F2;29/06/2018;F;Alp;Captive;Aquatic1;1;2.29;4.6;7.9;0.5;FALSE;Aquatic1;A2
MD392;M3;29/06/2018;M;Alp;Captive;Aquatic1;1;1.68;4.1;7.1;0.41;FALSE;Aquatic1;A3
MD393;F3;29/06/2018;F;Alp;Captive;Aquatic1;1;2.47;4.4;8;0.56;FALSE;Aquatic1;A3
MD394;M4;29/06/2018;M;Alp;Captive;Aquatic1;1;2.62;4.9;8.1;0.53;FALSE;Aquatic1;A4
MD395;F4;29/06/2018;F;Alp;Captive;Aquatic1;1;2.57;4.6;8.1;0.56;FALSE;Aquatic1;A4
MD396;M5;29/06/2018;M;Alp;Captive;Aquatic1;1;2.09;4.4;7.2;0.48;FALSE;Aquatic1;A5
MD397;F5;29/06/2018;F;Alp;Captive;Aquatic1;1;2.52;4.9;8;0.51;FALSE;Aquatic1;A5
MD398;M6;29/06/2018;M;Alp;Captive;Aquatic1;1;2.18;4.3;7.2;0.51;FALSE;Aquatic1;A6
MD399;F6;29/06/2018;F;Alp;Captive;Aquatic1;1;2.24;4.6;8.1;0.49;FALSE;Aquatic1;A6
MD400;M7;29/06/2018;M;Alp;Captive;Aquatic1;1;2.04;4.4;6.6;0.46;FALSE;Aquatic1;A7
MD401;F7;29/06/2018;F;Alp;Captive;Aquatic1;1;2.66;4.7;8.5;0.57;FALSE;Aquatic1;A7
MD402;M8;29/06/2018;M;Alp;Captive;Aquatic1;1;2.04;4.2;7.1;0.49;FALSE;Aquatic1;A8
MD403;F8;29/06/2018;F;Alp;Captive;Aquatic1;1;2.68;5;8.5;0.54;FALSE;Aquatic1;A8
MD404;M9;29/06/2018;M;Alp;Captive;Aquatic1;1;#N/A;#N/A;#N/A;#N/A;FALSE;Aquatic1;A9
MD405;F9;29/06/2018;F;Alp;Captive;Aquatic1;1;2.54;4.4;8.1;0.58;FALSE;Aquatic1;A9
MD406;M10;29/06/2018;M;Alp;Captive;Aquatic1;1;1.92;4;7.3;0.48;FALSE;Aquatic1;A10
MD407;F10;29/06/2018;F;Alp;Captive;Aquatic1;1;2.77;4.8;8.5;0.58;FALSE;Aquatic1;A10
MD408;M11;29/06/2018;M;Pal;Captive;Aquatic1;1;1.32;3.6;6.5;0.37;FALSE;Aquatic1;A11
MD409;F11;29/06/2018;F;Pal;Captive;Aquatic1;1;2.35;4.3;8;0.55;FALSE;Aquatic1;A11
MD410;M12;29/06/2018;M;Pal;Captive;Aquatic1;1;1.62;3.9;6.8;0.42;FALSE;Aquatic1;A12
MD411;F12;29/06/2018;F;Pal;Captive;Aquatic1;1;1.77;4.3;7.9;0.41;FALSE;Aquatic1;A12
MD412;M13;29/06/2018;M;Pal;Captive;Aquatic1;1;1.68;4;7;0.42;FALSE;Aquatic1;A13
MD413;F13;29/06/2018;F;Pal;Captive;Aquatic1;1;1.59;3.6;6.7;0.44;FALSE;Aquatic1;A13
MD414;M14;29/06/2018;M;Pal;Captive;Aquatic1;1;1.6;3.8;6.8;0.42;FALSE;Aquatic1;A14
MD415;F14;29/06/2018;F;Pal;Captive;Aquatic1;1;1.67;4.1;7.3;0.41;FALSE;Aquatic1;A14
MD416;M15;29/06/2018;M;Pal;Captive;Aquatic1;1;1.33;3.7;6.4;0.36;FALSE;Aquatic1;A15
MD417;F15;29/06/2018;F;Pal;Captive;Aquatic1;1;1.62;3.9;7.4;0.42;FALSE;Aquatic1;A15
MD418;M16;29/06/2018;M;Pal;Captive;Aquatic1;1;1.31;3.6;6.7;0.36;FALSE;Aquatic1;A16
MD419;F16;29/06/2018;F;Pal;Captive;Aquatic1;1;2.25;4.7;8.2;0.48;FALSE;Aquatic1;A16
MD420;M17;29/06/2018;M;Pal;Captive;Aquatic1;1;1.01;3.2;6.1;0.32;FALSE;Aquatic1;A17
MD421;F17;29/06/2018;F;Pal;Captive;Aquatic1;1;1.95;4.1;7.5;0.48;FALSE;Aquatic1;A17
MD422;M18;29/06/2018;M;Pal;Captive;Aquatic1;1;1.53;3.4;6.5;0.45;FALSE;Aquatic1;A18
MD423;F18;29/06/2018;F;Pal;Captive;Aquatic1;1;2.21;4.4;8;0.5;FALSE;Aquatic1;A18
MD424;M19;29/06/2018;M;Pal;Captive;Aquatic1;1;1.57;3.9;6.9;0.4;FALSE;Aquatic1;A19
MD425;F19;29/06/2018;F;Pal;Captive;Aquatic1;1;2.17;4.4;8.2;0.49;FALSE;Aquatic1;A19
MD426;M20;29/06/2018;M;Pal;Captive;Aquatic1;1;1.44;3.9;6.6;0.37;FALSE;Aquatic1;A20
MD427;F20;29/06/2018;F;Pal;Captive;Aquatic1;1;1.83;4;7.5;0.46;FALSE;Aquatic1;A20
MD431;M1;31/07/2018;M;Alp;Captive;Aquatic1;2;2.33;4.5;7.8;0.52;FALSE;Aquatic1;A1
MD432;F1;31/07/2018;F;Alp;Captive;Aquatic1;2;3.03;4.6;8;0.66;FALSE;Aquatic1;A1
MD433;M2;31/07/2018;M;Alp;Captive;Aquatic1;2;2.53;4.1;7.4;0.62;FALSE;Aquatic1;A2
MD434;F2;31/07/2018;F;Alp;Captive;Aquatic1;2;2.77;4.6;8.6;0.6;FALSE;Aquatic1;A2
MD435;M3;31/07/2018;M;Alp;Captive;Aquatic1;2;1.92;4;7.5;0.48;FALSE;Aquatic1;A3
MD436;F3;31/07/2018;F;Alp;Captive;Aquatic1;2;2.86;4.8;8.4;0.6;FALSE;Aquatic1;A3
MD437;M4;31/07/2018;M;Alp;Captive;Aquatic1;2;2.86;5.1;8.3;0.56;FALSE;Aquatic1;A4
MD438;F4;31/07/2018;F;Alp;Captive;Aquatic1;2;2.8;4.6;8.5;0.61;FALSE;Aquatic1;A4
MD439;M5;31/07/2018;M;Alp;Captive;Aquatic1;2;2.27;4.6;7.8;0.49;FALSE;Aquatic1;A5
MD440;F5;31/07/2018;F;Alp;Captive;Aquatic1;2;2.65;5.1;8.3;0.52;FALSE;Aquatic1;A5
MD441;M6;31/07/2018;M;Alp;Captive;Aquatic1;2;2.48;4.3;7.3;0.58;FALSE;Aquatic1;A6
MD442;F6;31/07/2018;F;Alp;Captive;Aquatic1;2;2.53;4.8;8.1;0.53;FALSE;Aquatic1;A6
MD443;M7;31/07/2018;M;Alp;Captive;Aquatic1;2;2.13;4.2;7;0.51;FALSE;Aquatic1;A7
MD444;F7;31/07/2018;F;Alp;Captive;Aquatic1;2;2.83;4.6;8.6;0.62;FALSE;Aquatic1;A7
MD445;M8;31/07/2018;M;Alp;Captive;Aquatic1;2;2.11;4.2;7.3;0.5;FALSE;Aquatic1;A8
MD446;F8;31/07/2018;F;Alp;Captive;Aquatic1;2;3;5;8.9;0.6;FALSE;Aquatic1;A8
MD447;M9;31/07/2018;M;Alp;Captive;Aquatic1;2;2.22;4.3;7.7;0.52;FALSE;Aquatic1;A9
MD448;F9;31/07/2018;F;Alp;Captive;Aquatic1;2;2.9;4.5;8.2;0.64;FALSE;Aquatic1;A9
MD449;M10;31/07/2018;M;Alp;Captive;Aquatic1;2;2.08;4.3;7.9;0.48;FALSE;Aquatic1;A10
MD450;F10;31/07/2018;F;Alp;Captive;Aquatic1;2;3.15;4.8;8.3;0.66;FALSE;Aquatic1;A10
MD451;M11;31/07/2018;M;Pal;Captive;Aquatic1;2;1.32;3.5;6.4;0.38;FALSE;Aquatic1;A11
MD452;F11;31/07/2018;F;Pal;Captive;Aquatic1;2;2.51;4.2;8.1;0.6;FALSE;Aquatic1;A11
MD453;M12;31/07/2018;M;Pal;Captive;Aquatic1;2;1.74;3.9;7;0.45;FALSE;Aquatic1;A12
MD454;F12;31/07/2018;F;Pal;Captive;Aquatic1;2;1.97;4.3;8;0.46;FALSE;Aquatic1;A12
MD455;M13;31/07/2018;M;Pal;Captive;Aquatic1;2;1.76;4;6.9;0.44;FALSE;Aquatic1;A13
MD456;F13;31/07/2018;F;Pal;Captive;Aquatic1;2;1.86;4;7.3;0.47;FALSE;Aquatic1;A13
MD457;M14;31/07/2018;M;Pal;Captive;Aquatic1;2;1.65;4.2;7.1;0.39;FALSE;Aquatic1;A14
MD458;F14;31/07/2018;F;Pal;Captive;Aquatic1;2;1.89;4.1;7.3;0.46;FALSE;Aquatic1;A14
MD459;M15;31/07/2018;M;Pal;Captive;Aquatic1;2;1.61;3.6;6.6;0.45;FALSE;Aquatic1;A15
MD460;F15;31/07/2018;F;Pal;Captive;Aquatic1;2;1.95;3.9;7.5;0.5;FALSE;Aquatic1;A15
MD461;M16;31/07/2018;M;Pal;Captive;Aquatic1;2;1.53;3.8;6.8;0.4;FALSE;Aquatic1;A16
MD462;F16;31/07/2018;F;Pal;Captive;Aquatic1;2;2.27;4.5;8.5;0.5;FALSE;Aquatic1;A16
MD463;M17;31/07/2018;M;Pal;Captive;Aquatic1;2;1.13;3.4;6.4;0.33;FALSE;Aquatic1;A17
MD464;F17;31/07/2018;F;Pal;Captive;Aquatic1;2;2.23;4.5;8;0.5;FALSE;Aquatic1;A17
MD465;M18;31/07/2018;M;Pal;Captive;Aquatic1;2;1.66;4;7;0.42;FALSE;Aquatic1;A18
MD466;F18;31/07/2018;F;Pal;Captive;Aquatic1;2;2.34;4.4;8.2;0.53;FALSE;Aquatic1;A18
MD467;M19;31/07/2018;M;Pal;Captive;Aquatic1;2;1.82;4;7.7;0.46;FALSE;Aquatic1;A19
MD468;F19;31/07/2018;F;Pal;Captive;Aquatic1;2;2.42;4.3;8.3;0.56;FALSE;Aquatic1;A19
MD469;M20;31/07/2018;M;Pal;Captive;Aquatic1;2;2.63;3.9;6.8;0.67;FALSE;Aquatic1;A20
MD470;F20;31/07/2018;F;Pal;Captive;Aquatic1;2;2.11;4.2;8.1;0.5;FALSE;Aquatic1;A20
MD481;M1;31/08/2018;M;Alp;Captive;Aquatic1;3;2.69;4.6;8.1;0.58;FALSE;Aquatic1;A1
MD482;F1;31/08/2018;F;Alp;Captive;Aquatic1;3;3.34;4.7;8.6;0.71;FALSE;Aquatic1;A1
MD483;M2;31/08/2018;M;Alp;Captive;Aquatic1;3;2.61;4.4;7.3;0.59;FALSE;Aquatic1;A2
MD484;F2;31/08/2018;F;Alp;Captive;Aquatic1;3;3.31;4.9;8.6;0.68;FALSE;Aquatic1;A2
MD485;M3;31/08/2018;M;Alp;Captive;Aquatic1;3;2.26;4.2;7.2;0.54;FALSE;Aquatic1;A3
MD486;F3;31/08/2018;F;Alp;Captive;Aquatic1;3;3.26;4.7;8.1;0.69;FALSE;Aquatic1;A3
MD487;M4;31/08/2018;M;Alp;Captive;Aquatic1;3;3.26;5;8;0.65;FALSE;Aquatic1;A4
MD488;F4;31/08/2018;F;Alp;Captive;Aquatic1;3;3.15;4.9;9;0.64;FALSE;Aquatic1;A4
MD489;M5;31/08/2018;M;Alp;Captive;Aquatic1;3;2.44;4.6;8;0.53;FALSE;Aquatic1;A5
MD490;F5;31/08/2018;F;Alp;Captive;Aquatic1;3;4.47;4;8.4;1.12;FALSE;Aquatic1;A5
MD491;M6;31/08/2018;M;Alp;Captive;Aquatic1;3;2.88;4.6;7.5;0.63;FALSE;Aquatic1;A6
MD492;F6;31/08/2018;F;Alp;Captive;Aquatic1;3;2.95;4.8;8.2;0.61;FALSE;Aquatic1;A6
MD493;M7;31/08/2018;M;Alp;Captive;Aquatic1;3;2.36;4.4;7.1;0.54;FALSE;Aquatic1;A7
MD494;F7;31/08/2018;F;Alp;Captive;Aquatic1;3;3.4;4.8;8.8;0.71;FALSE;Aquatic1;A7
MD495;M8;31/08/2018;M;Alp;Captive;Aquatic1;3;2.58;4.4;7.4;0.59;FALSE;Aquatic1;A8
MD496;F8;31/08/2018;F;Alp;Captive;Aquatic1;3;3.27;4.8;8.9;0.68;FALSE;Aquatic1;A8
MD497;M9;31/08/2018;M;Alp;Captive;Aquatic1;3;2.49;4.2;7.5;0.59;FALSE;Aquatic1;A9
MD498;F9;31/08/2018;F;Alp;Captive;Aquatic1;3;3.32;5;9;0.66;FALSE;Aquatic1;A9
MD499;M10;31/08/2018;M;Alp;Captive;Aquatic1;3;2.41;4.5;8.2;0.54;FALSE;Aquatic1;A10
MD500;F10;31/08/2018;F;Alp;Captive;Aquatic1;3;3.71;5.1;9.1;0.73;FALSE;Aquatic1;A10
MD501;M11;31/08/2018;M;Pal;Captive;Aquatic1;3;1.38;3.7;6.6;0.37;FALSE;Aquatic1;A11
MD502;F11;31/08/2018;F;Pal;Captive;Aquatic1;3;2.94;4.7;8.5;0.63;FALSE;Aquatic1;A11
MD503;M12;31/08/2018;M;Pal;Captive;Aquatic1;3;2.08;4;7.2;0.52;FALSE;Aquatic1;A12
MD504;F12;31/08/2018;F;Pal;Captive;Aquatic1;3;2.36;4.3;8;0.55;FALSE;Aquatic1;A12
MD505;M13;31/08/2018;M;Pal;Captive;Aquatic1;3;2.07;4.1;7.3;0.5;FALSE;Aquatic1;A13
MD506;F13;31/08/2018;F;Pal;Captive;Aquatic1;3;2.2;4.2;7.4;0.52;FALSE;Aquatic1;A13
MD507;M14;31/08/2018;M;Pal;Captive;Aquatic1;3;2.03;4.3;7.5;0.47;FALSE;Aquatic1;A14
MD508;F14;31/08/2018;F;Pal;Captive;Aquatic1;3;2.31;4.4;8;0.53;FALSE;Aquatic1;A14
MD509;M15;31/08/2018;M;Pal;Captive;Aquatic1;3;2.03;3.9;6.8;0.52;FALSE;Aquatic1;A15
MD510;F15;31/08/2018;F;Pal;Captive;Aquatic1;3;2.07;4.3;8.1;0.48;FALSE;Aquatic1;A15
MD511;M16;31/08/2018;M;Pal;Captive;Aquatic1;3;1.86;4;7;0.47;FALSE;Aquatic1;A16
